,genres,level_0
0,Action,"[u'Batman & Robin\xc2' u'Batman Returns\xc2' u'Kill Bill: Vol. 1\xc2'
 u'Out of Inferno\xc2' u'The Man with the Iron Fists\xc2' u'Ong-bak 2\xc2'
 u'Reign of Assassins\xc2' u'Excessive Force\xc2' u'Code of Honor\xc2'
 u'Kickboxer: Vengeance\xc2' u'Diamond Ruff\xc2']"
1,Action|Adventure,"[u'Quantum of Solace\xc2' u'Batman Begins\xc2' u'Hercules\xc2'
 u'Batman\xc2' u'The Man in the Iron Mask\xc2' u'DOA: Dead or Alive\xc2'
 u'Indiana Jones and the Temple of Doom\xc2'
 u'Raiders of the Lost Ark\xc2' u'Valley of the Wolves: Iraq\xc2'
 u'Falcon Rising\xc2']"
2,Action|Adventure|Animation|Comedy|Crime|Family|Fantasy,[u'Osmosis Jones\xc2']
3,Action|Adventure|Animation|Comedy|Drama|Family|Fantasy|Thriller,[u'Alpha and Omega 4: The Legend of the Saw Toothed Cave\xc2']
4,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,[u'Big Hero 6\xc2' u'The Iron Giant\xc2']
5,Action|Adventure|Animation|Comedy|Family,"[u'Madagascar: Escape 2 Africa\xc2' u'Kung Fu Panda 2\xc2'
 u'Kung Fu Panda 3\xc2' u'Kung Fu Panda\xc2'
 u'Ice Age: Dawn of the Dinosaurs\xc2' u'Legend of Kung Fu Rabbit\xc2']"
6,Action|Adventure|Animation|Comedy|Family|Fantasy,"[u'How to Train Your Dragon 2\xc2' u'Puss in Boots\xc2'
 u'Ice Age: The Meltdown\xc2' u'The Lego Movie\xc2']"
7,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,[u'G-Force\xc2' u'TMNT\xc2']
8,Action|Adventure|Animation|Comedy|Family|Sci-Fi,"[u'Monsters vs. Aliens\xc2' u'Mars Needs Moms\xc2'
 u'Jimmy Neutron: Boy Genius\xc2']"
9,Action|Adventure|Animation|Comedy|Fantasy,[u'The Princess and the Cobbler\xc2']
10,Action|Adventure|Animation|Comedy|Fantasy|Sci-Fi,[u'Aqua Teen Hunger Force Colon Movie Film for Theaters\xc2']
11,Action|Adventure|Animation|Comedy|Sci-Fi,[u'Journey to Saturn\xc2']
