genres,id,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,budget_decimal,Profit
Action,27672,1118.0,1168.0,30442.0,2976.0,265943.0,357125440.0,1227512,279936,22.0,4110.0,22075.0,4633.0,65.7,16.8,43982,590500000.0,-195874560.0
Action|Adventure,16717,2177.0,1239.0,64648.0,14802.0,102402.0,1249831278.0,2986283,159215,13.0,7193.0,22019.0,23614.0,73.7,22.000000000000004,85467,699800000.0,558331278.0
Action|Adventure|Animation|Comedy|Crime|Family|Fantasy,624,81.0,95.0,101.0,443.0,2000.0,13596911.0,25572,3734,0.0,123.0,2001.0,509.0,6.2,2.35,2000,70000000.0,-56403089.0
Action|Adventure|Animation|Comedy|Drama|Family|Fantasy|Thriller,3540,2.0,45.0,24.0,29.0,122.0,0.0,192,236,0.0,6.0,2014.0,35.0,6.0,0.0,41,7000000.0,0.0
Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,1099,546.0,192.0,701.0,1083.0,14756.0,245647016.0,407548,19321,1.0,947.0,4013.0,1350.0,15.9,4.74,41000,235000000.0,10647016.0
Action|Adventure|Animation|Comedy|Family,3973,1120.0,549.0,291.0,2285.0,48805.0,900705418.0,867287,76261,0.0,977.0,12063.0,23692.0,39.0,10.75,50211,665000000.0,235705418.0
Action|Adventure|Animation|Comedy|Family|Fantasy,1653,1137.0,407.0,509.0,3591.0,33835.0,779317814.0,776362,52367,5.0,1204.0,8045.0,12032.0,29.3,8.9,126000,415000000.0,364317814.0
Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,1558,336.0,175.0,26.0,873.0,11730.0,173552848.0,86828,18788,0.0,301.0,4016.0,4607.0,11.399999999999999,4.7,0,184000000.0,-10447152.0
Action|Adventure|Animation|Comedy|Family|Sci-Fi,2095,417.0,264.0,44.0,1071.0,2691.0,300632391.0,156086,7482,2.0,417.0,6021.0,2212.0,17.9,6.550000000000001,425,355000000.0,-54367609.0
Action|Adventure|Animation|Comedy|Fantasy,2045,10.0,80.0,18.0,73.0,742.0,669276.0,2541,1088,0.0,47.0,1993.0,83.0,7.2,2.35,408,28000000.0,-27330724.0
Action|Adventure|Animation|Comedy|Fantasy|Sci-Fi,4677,82.0,86.0,8.0,357.0,2000.0,5518918.0,12160,3071,0.0,73.0,2007.0,424.0,6.9,1.85,307,750000.0,4768918.0
Action|Adventure|Animation|Comedy|Sci-Fi,4165,2.0,90.0,0.0,13.0,122.0,0.0,1828,197,0.0,6.0,2008.0,33.0,5.7,1.85,77,0.0,0.0
Action|Adventure|Animation|Drama|Fantasy|Sci-Fi,3330,47.0,23.0,0.0,265.0,668.0,0.0,28190,1484,0.0,73.0,0.0,296.0,7.9,2.35,2000,0.0,0.0
Action|Adventure|Animation|Drama|Mystery|Sci-Fi|Thriller,1668,263.0,79.0,30.0,265.0,940.0,31743332.0,111117,1594,0.0,245.0,2009.0,271.0,7.1,1.85,13000,30000000.0,1743332.0
Action|Adventure|Animation|Family,350,283.0,115.0,663.0,55.0,1000.0,261437578.0,479166,1901,0.0,815.0,2004.0,723.0,8.0,2.35,0,92000000.0,169437578.0
Action|Adventure|Animation|Family|Fantasy,2555,194.0,125.0,0.0,577.0,2000.0,55673333.0,78202,4286,1.0,211.0,2010.0,653.0,14.0,2.35,16124,80000000.0,-24326667.0
Action|Adventure|Animation|Family|Fantasy|Sci-Fi,4434,185.0,188.0,29.0,552.0,12088.0,84037039.0,81657,15610,0.0,344.0,4001.0,884.0,12.399999999999999,4.2,38,136000000.0,-35962961.0
Action|Adventure|Animation|Family|Sci-Fi,4315,160.0,176.0,482.0,930.0,13093.0,32380730.0,57408,16172,0.0,442.0,4000.0,1045.0,12.5,4.2,207,80000000.0,-47619270.0
Action|Adventure|Animation|Family|Sci-Fi|Thriller,2335,105.0,103.0,78.0,101.0,488.0,410388.0,13727,991,1.0,79.0,2004.0,336.0,6.9,1.85,973,2127519898.0,-2127109510.0
Action|Adventure|Animation|Fantasy,154,287.0,115.0,0.0,964.0,18000.0,82161969.0,142440,31523,1.0,505.0,2007.0,12000.0,6.3,2.35,3000,150000000.0,-67838031.0
Action|Adventure|Animation|Fantasy|Romance|Sci-Fi,171,166.0,106.0,6.0,422.0,12000.0,32131830.0,72259,15015,1.0,788.0,2001.0,2000.0,6.4,1.85,0,137000000.0,-104868170.0
Action|Adventure|Biography|Drama|History,2953,68.0,55.0,0.0,898.0,1000.0,0.0,173172,6091,2.0,302.0,0.0,939.0,8.6,16.0,31000,0.0,0.0
Action|Adventure|Biography|Drama|History|Romance|War,114,248.0,206.0,0.0,591.0,12000.0,34293771.0,138863,24598,3.0,1390.0,2004.0,11000.0,5.5,2.35,0,155000000.0,-120706229.0
Action|Adventure|Biography|Drama|History|Thriller,321,289.0,122.0,2000.0,571.0,26000.0,24985612.0,71782,28328,0.0,161.0,2015.0,911.0,7.0,1.85,27000,100000000.0,-75014388.0
Action|Adventure|Comedy,16546,1769.0,1305.0,1181.0,14420.0,46084.0,698206806.0,954073,92772,19.0,2950.0,24032.0,17650.0,72.9,26.700000000000006,47474,708800000.0,-163806778.0
Action|Adventure|Comedy|Crime,8683,636.0,687.0,886.0,3039.0,49543.0,471705407.0,460666,59709,4.0,2097.0,11976.0,3599.0,36.4,14.01,17858,292400000.0,179305407.0
Action|Adventure|Comedy|Crime|Family|Romance|Thriller,1905,79.0,102.0,91.0,434.0,1000.0,47285499.0,26755,3037,3.0,104.0,2003.0,934.0,5.0,2.35,542,26000000.0,21285499.0
Action|Adventure|Comedy|Crime|Music|Mystery,1037,48.0,104.0,212.0,380.0,879.0,21413502.0,14429,2795,5.0,113.0,1990.0,560.0,6.3,2.35,2000,40000000.0,-18586498.0
Action|Adventure|Comedy|Crime|Mystery|Thriller,381,196.0,129.0,209.0,886.0,11000.0,64685359.0,40862,23031,6.0,139.0,2016.0,11000.0,6.9,2.35,15000,90000000.0,-25314641.0
Action|Adventure|Comedy|Crime|Thriller,361,181.0,94.0,368.0,466.0,13000.0,125305545.0,145350,15419,0.0,643.0,2000.0,1000.0,5.5,2.35,0,92000000.0,33305545.0
Action|Adventure|Comedy|Drama|Music|Sci-Fi,4299,51.0,91.0,4.0,0.0,33.0,124494.0,5613,36,1.0,102.0,1998.0,3.0,6.7,1.85,0,2000000.0,-1875506.0
Action|Adventure|Comedy|Drama|Thriller,1516,68.0,102.0,3.0,239.0,372.0,11227940.0,8367,1274,0.0,94.0,1999.0,248.0,5.2,2.35,120,34000000.0,-22772060.0
Action|Adventure|Comedy|Drama|War,1046,150.0,114.0,737.0,393.0,2000.0,60652036.0,137854,3743,1.0,560.0,1999.0,490.0,7.1,2.35,3000,48000000.0,12652036.0
Action|Adventure|Comedy|Family,2894,61.0,90.0,0.0,234.0,477.0,28399192.0,5663,1483,0.0,106.0,2002.0,238.0,5.4,2.35,332,13000000.0,15399192.0
Action|Adventure|Comedy|Family|Fantasy,251,179.0,108.0,189.0,1000.0,49000.0,250863268.0,234480,55486,2.0,444.0,2006.0,3000.0,6.4,1.85,3000,110000000.0,140863268.0
Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,153,208.0,88.0,188.0,826.0,10000.0,190418803.0,270207,14823,2.0,606.0,2002.0,3000.0,6.1,1.85,2000,140000000.0,50418803.0
Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,3350,825.0,397.0,4258.0,2178.0,41533.0,353538635.0,428243,73900,4.0,763.0,8022.0,27035.0,23.5,7.4,41000,386000000.0,-32461365.0
Action|Adventure|Comedy|Family|Mystery,301,193.0,131.0,226.0,341.0,12000.0,173005002.0,255447,13679,0.0,692.0,2004.0,625.0,6.9,2.35,0,100000000.0,73005002.0
Action|Adventure|Comedy|Family|Romance,844,53.0,92.0,39.0,458.0,3000.0,105263257.0,56168,4518,0.0,103.0,1997.0,562.0,5.4,1.85,5000,55000000.0,50263257.0
Action|Adventure|Comedy|Family|Romance|Sci-Fi,1854,55.0,100.0,8.0,588.0,1000.0,23222861.0,11092,3742,4.0,44.0,2004.0,934.0,4.5,2.35,167,26000000.0,-2777139.0
Action|Adventure|Comedy|Family|Sci-Fi,10301,708.0,762.0,1243.0,6527.0,36598.0,585299988.0,353122,68727,9.0,1275.0,16009.0,10234.0,38.6,15.299999999999999,2105,335000000.0,250299988.0
Action|Adventure|Comedy|Fantasy,3518,320.0,329.0,346.0,961.0,2070.0,78417283.0,226640,7158,2.0,736.0,5975.0,1307.0,18.400000000000002,7.050000000000001,19000,140000000.0,-61582717.0
Action|Adventure|Comedy|Fantasy|Mystery,2921,29.0,94.0,23.0,148.0,400.0,79817937.0,39798,1044,1.0,69.0,1986.0,255.0,5.9,1.85,0,25000000.0,54817937.0
Action|Adventure|Comedy|Fantasy|Romance,1571,12.0,93.0,0.0,239.0,330.0,0.0,3088,1073,4.0,31.0,2004.0,239.0,5.7,2.35,290,32000000.0,0.0
Action|Adventure|Comedy|Fantasy|Sci-Fi,4606,3.0,97.0,0.0,94.0,639.0,0.0,534,1188,2.0,9.0,2005.0,361.0,1.9,1.78,128,1000000.0,0.0
Action|Adventure|Comedy|Fantasy|Thriller,488,233.0,118.0,0.0,871.0,13000.0,37899638.0,98472,27114,2.0,492.0,2005.0,13000.0,5.9,1.85,0,88000000.0,-50100362.0
Action|Adventure|Comedy|Musical,4005,31.0,81.0,0.0,542.0,560.0,3293258.0,11399,2238,0.0,131.0,2001.0,555.0,5.2,1.85,0,3000000.0,293258.0
Action|Adventure|Comedy|Music|Thriller,1295,49.0,107.0,124.0,572.0,636.0,14375181.0,8692,3374,2.0,126.0,1987.0,631.0,4.2,1.85,754,51000000.0,-36624819.0
Action|Adventure|Comedy|Romance,3900,108.0,212.0,454.0,408.0,11163.0,74379966.0,61232,12948,4.0,166.0,4011.0,663.0,10.8,4.7,81,70000000.0,4329966.0
Action|Adventure|Comedy|Romance|Sci-Fi,5812,701.0,309.0,104.0,980.0,18000.0,379320037.0,520483,23230,5.0,1383.0,5986.0,1797.0,18.4,6.050000000000001,117000,102000000.0,286320037.0
Action|Adventure|Comedy|Romance|Thriller,569,176.0,112.0,72.0,715.0,11000.0,70224196.0,59352,13827,0.0,138.0,2008.0,1000.0,5.6,2.35,0,70000000.0,224196.0
Action|Adventure|Comedy|Romance|Thriller|Western,662,156.0,136.0,258.0,94.0,12000.0,93771072.0,135404,12396,0.0,318.0,1998.0,174.0,6.7,2.35,0,65000000.0,28771072.0
Action|Adventure|Comedy|Sci-Fi,3576,1812.0,554.0,1646.0,2666.0,18666.0,804659971.0,784565,30703,14.0,2617.0,10075.0,4787.0,32.400000000000006,11.25,277000,690000000.0,114659971.0
Action|Adventure|Comedy|Sci-Fi|Thriller,1851,69.0,94.0,906.0,528.0,2000.0,36985501.0,11212,3917,0.0,94.0,2002.0,587.0,5.2,1.85,874,26000000.0,10985501.0
Action|Adventure|Comedy|Thriller,3264,610.0,543.0,1332.0,2629.0,37989.0,212921414.0,294841,50015,8.0,1330.0,10006.0,5607.0,27.499999999999996,10.770000000000001,1323,390000000.0,-177078586.0
Action|Adventure|Comedy|Western,4118,298.0,245.0,428.0,102.0,883.0,57060791.0,122846,1508,2.0,367.0,4008.0,259.0,13.899999999999999,4.7,0,65000000.0,-7939209.0
Action|Adventure|Crime,261,29.0,60.0,0.0,432.0,669.0,0.0,25402,1655,4.0,97.0,0.0,554.0,7.6,4.0,0,0.0,0.0
Action|Adventure|Crime|Drama,4143,11.0,94.0,0.0,356.0,854.0,0.0,706,1989,3.0,14.0,2009.0,602.0,6.2,1.78,229,3000000.0,0.0
Action|Adventure|Crime|Drama|Family|Fantasy|Romance|Thriller,1388,126.0,124.0,287.0,475.0,9000.0,23360779.0,31113,10838,0.0,212.0,2000.0,1000.0,5.7,2.35,852,34000000.0,-10639221.0
Action|Adventure|Crime|Drama|Mystery|Thriller,1139,119.0,130.0,99.0,812.0,11000.0,183875760.0,213668,13357,1.0,270.0,1993.0,1000.0,7.8,1.85,0,44000000.0,139875760.0
Action|Adventure|Crime|Drama|Romance,1687,36.0,105.0,114.0,537.0,4000.0,17100000.0,7073,6152,1.0,29.0,1996.0,561.0,5.3,1.85,204,25000000.0,-7900000.0
Action|Adventure|Crime|Drama|Sci-Fi|Thriller,460,95.0,54.0,0.0,0.0,577.0,0.0,213483,581,0.0,394.0,0.0,4.0,8.8,16.0,55000,0.0,0.0
Action|Adventure|Crime|Drama|Thriller,3526,570.0,210.0,320.0,981.0,1704.0,68028796.0,231299,5207,0.0,2066.0,4012.0,1042.0,11.2,4.7,8000,66000000.0,2028796.0
Action|Adventure|Crime|Fantasy|Mystery|Thriller,1269,70.0,93.0,85.0,510.0,924.0,32055248.0,18723,2711,0.0,146.0,1994.0,595.0,6.0,1.85,0,25000000.0,7055248.0
Action|Adventure|Crime|Mystery|Thriller,580,797.0,257.0,0.0,881.0,42000.0,395850158.0,815935,46399,5.0,1033.0,4020.0,1958.0,15.1,4.2,59000,215000000.0,180850158.0
Action|Adventure|Crime|Thriller,11949,974.0,1016.0,975.0,4410.0,111049.0,455981774.0,809493,142536,10.0,2266.0,18007.0,20779.0,55.2,21.150000000000002,470,446000000.0,13981774.0
Action|Adventure|Drama,16175,1851.0,932.0,618.0,10570.0,84304.0,237706622.0,1090937,116056,10.0,4214.0,13973.0,12701.0,49.0,14.969999999999999,202000,444000000.0,-178293378.0
Action|Adventure|Drama|Family,1556,122.0,105.0,0.0,223.0,716.0,99462.0,11347,1843,1.0,28.0,2013.0,648.0,7.1,2.35,5000,33000000.0,-32900538.0
Action|Adventure|Drama|Fantasy,1365,1784.0,915.0,340.0,23112.0,107000.0,1272696867.0,3938208,192393,9.0,11834.0,12047.0,39857.0,44.900000000000006,14.1,151000,741000000.0,531696867.0
Action|Adventure|Drama|Fantasy|Sci-Fi,3542,18.0,97.0,49.0,687.0,878.0,0.0,15862,4334,5.0,42.0,2008.0,847.0,7.4,1.78,389,0.0,0.0
Action|Adventure|Drama|Fantasy|War,1330,44.0,159.0,50.0,72.0,218.0,6498000.0,62756,554,1.0,410.0,2015.0,133.0,8.4,1.85,21000,18026148.0,-11528148.0
Action|Adventure|Drama|History,724,411.0,259.0,10.0,745.0,912.0,105292148.0,223349,3302,3.0,632.0,4025.0,900.0,12.8,4.7,17000,265000000.0,-159707852.0
Action|Adventure|Drama|History|Romance,5221,310.0,344.0,682.0,1398.0,15494.0,32124818.0,106333,30785,3.0,428.0,5992.0,12705.0,19.0,7.050000000000001,21399,125000000.0,-92875182.0
Action|Adventure|Drama|History|Romance|War,798,123.0,140.0,23.0,579.0,11000.0,13082288.0,35565,12634,1.0,247.0,2006.0,779.0,6.6,2.35,2000,60000000.0,-46917712.0
Action|Adventure|Drama|History|Thriller|War,2742,195.0,97.0,197.0,570.0,13000.0,122288.0,64777,15293,0.0,201.0,2010.0,794.0,6.4,2.35,0,0.0,0.0
Action|Adventure|Drama|History|War,10166,896.0,1182.0,1484.0,1639.0,18064.0,192407174.0,462167,30879,12.0,2128.0,14003.0,7618.0,47.3,15.799999999999999,543,1318632000.0,-1117224826.0
Action|Adventure|Drama|Horror|Sci-Fi,304,2.0,240.0,56.0,24.0,1088.0,0.0,748,1398,0.0,26.0,4032.0,212.0,16.4,4.7,0,0.0,0.0
Action|Adventure|Drama|Mystery,2214,122.0,107.0,58.0,47.0,141.0,36874745.0,12276,389,2.0,117.0,2016.0,76.0,6.3,2.35,21000,20000000.0,16874745.0
Action|Adventure|Drama|Romance,10878,2149.0,1097.0,1233.0,1182.0,65755.0,1078798526.0,1270361,103479,7.0,9074.0,14042.0,34238.0,49.300000000000004,15.95,58000,1129000000.0,-50201474.0
Action|Adventure|Drama|Romance|Sci-Fi,841,169.0,188.0,503.0,467.0,10000.0,134218018.0,126357,12940,0.0,497.0,1978.0,593.0,7.3,2.35,0,55000000.0,79218018.0
Action|Adventure|Drama|Romance|Thriller,1231,138.0,131.0,58.0,720.0,15000.0,54228104.0,104991,17152,1.0,544.0,2002.0,1000.0,7.7,1.85,0,35000000.0,19228104.0
Action|Adventure|Drama|Romance|War,3774,123.0,387.0,5.0,614.0,1763.0,72455275.0,131109,4906,2.0,436.0,3999.0,1053.0,14.399999999999999,4.7,0,65000000.0,32455275.0
Action|Adventure|Drama|Romance|Western,2233,20.0,119.0,23.0,748.0,25000.0,21413105.0,15230,45841,1.0,97.0,1990.0,19000.0,6.8,2.35,0,20000000.0,1413105.0
Action|Adventure|Drama|Sci-Fi,9275,744.0,532.0,205.0,2130.0,13697.0,226137186.0,514843,25284,11.0,1549.0,6021.0,3968.0,34.800000000000004,23.880000000000003,62000,263400000.0,-23862814.0
Action|Adventure|Drama|Sci-Fi|Thriller,5611,250.0,210.0,908.0,909.0,1043.0,102038417.0,103280,6368,2.0,426.0,3995.0,1003.0,13.6,4.7,3339,1045000000.0,-942961583.0
Action|Adventure|Drama|Thriller,8373,2528.0,1540.0,2200.0,17411.0,193880.0,1167128975.0,1526652,273612,8.0,6007.0,26018.0,44503.0,81.7,29.050000000000008,119328,968000000.0,171349087.0
Action|Adventure|Drama|Thriller|War,2928,216.0,110.0,16.0,11.0,93.0,70011073.0,57996,146,0.0,349.0,2012.0,17.0,6.5,2.35,15000,12000000.0,58011073.0
Action|Adventure|Drama|Thriller|Western,1363,31.0,110.0,49.0,427.0,1000.0,623374.0,4757,2120,2.0,67.0,2001.0,569.0,5.2,2.35,474,38000000.0,-37376626.0
Action|Adventure|Drama|War,4673,33.0,90.0,38.0,69.0,214.0,1310270.0,17725,587,0.0,157.0,2003.0,115.0,6.8,0.0,1000,780000.0,530270.0
Action|Adventure|Drama|Western,3574,12.0,102.0,9.0,368.0,1000.0,0.0,2892,1904,0.0,18.0,2010.0,433.0,6.5,2.35,830,6500000.0,0.0
Action|Adventure|Family|Fantasy,1555,1009.0,559.0,320.0,1837.0,50000.0,450530270.0,521444,58328,5.0,3925.0,10039.0,2874.0,25.5,11.25,29000,675000000.0,-224469730.0
Action|Adventure|Family|Fantasy|Romance,83,401.0,97.0,171.0,846.0,11000.0,241407328.0,252257,15516,2.0,634.0,2014.0,2000.0,7.0,2.35,89000,180000000.0,61407328.0
Action|Adventure|Family|Fantasy|Sci-Fi,1078,201.0,93.0,40.0,311.0,14000.0,101702060.0,85323,17925,0.0,212.0,2008.0,3000.0,5.8,1.85,0,45000000.0,56702060.0
Action|Adventure|Family|Fantasy|Sci-Fi|Thriller,960,166.0,98.0,99.0,433.0,12000.0,67128202.0,43328,14007,3.0,110.0,2009.0,536.0,5.7,2.35,0,65000000.0,2128202.0
Action|Adventure|Family|Fantasy|Thriller,483,35.0,114.0,31.0,372.0,9000.0,50628009.0,22955,10731,0.0,88.0,1998.0,496.0,5.6,1.85,0,90000000.0,-39371991.0
Action|Adventure|Family|Mystery,195,440.0,107.0,14000.0,845.0,2000.0,77564037.0,177383,4631,1.0,447.0,2011.0,871.0,7.4,2.35,44000,135000000.0,-57435963.0
