Budget,Genre,Gross,Profit
70988319656.0,Action,75145540469.0,5166341649.0
70050519616.0,Adventure,79806607293.0,10754333579.0
36929544723.0,Fantasy,45116052975.0,8739141427.0
49699552291.0,Sci-Fi,41862249820.0,-7382359889.0
50522907494.0,Thriller,54908859373.0,5379318545.0
455554529.0,Documentary,1103051501.0,458205601.0
31639125548.0,Romance,39901610065.0,8802850372.0
21817449898.0,Animation,21818664778.0,186871406.0
64605282609.0,Comedy,77437971840.0,12401933708.0
32290776127.0,Family,42061385738.0,9725838150.0
4372437014.0,Musical,5846156663.0,1438927340.0
14278066324.0,Mystery,18133701260.0,4017680245.0
2747567601.0,Western,2633546760.0,29792856.0
81261603413.0,Drama,73913303544.0,-6209274298.0
7984971682.0,History,5701332271.0,-1614348940.0
10699331830.0,War,6552231254.0,-3715674734.0
4984710370.0,Sport,6953941724.0,1777598167.0
28051466810.0,Crime,28274539845.0,636644497.0
21212974761.0,Horror,13793814984.0,-7002206860.0
7204105786.0,Biography,9005655093.0,1924604134.0
7575189362.0,Music,11683238115.0,3901466892.0
3000000.0,Game-Show,0.0,0.0
3000000.0,Reality-TV,0.0,0.0
2413000.0,News,14359793.0,0.0
6047000.0,Short,7852534.0,1818534.0
7784377.0,Film-Noir,7927.0,-2292073.0
